2026-09-02 16:02:03.442 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688368 (1352 条)
2026-09-02 16:02:05.571 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688368 (1352 条)
2026-09-02 16:02:05.579 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688368 (1353 条)
2026-09-02 16:02:05.649 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688372 (935 条)
2026-09-02 16:02:07.940 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688372 (935 条)
2026-09-02 16:02:07.947 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688372 (936 条)
2026-09-02 16:02:07.976 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688380 (987 条)
2026-09-02 16:02:09.922 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688380 (987 条)
2026-09-02 16:02:09.927 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688380 (988 条)
2026-09-02 16:02:09.946 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688382 (996 条)
2026-09-02 16:02:11.908 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688382 (996 条)
2026-09-02 16:02:11.914 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688382 (997 条)
2026-09-02 16:02:11.940 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688388 (1372 条)
2026-09-02 16:02:13.807 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688388 (1372 条)
2026-09-02 16:02:13.815 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688388 (1373 条)
2026-09-02 16:02:13.836 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688390 (1372 条)
2026-09-02 16:02:16.080 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688390 (1372 条)
2026-09-02 16:02:16.088 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688390 (1373 条)
2026-09-02 16:02:16.111 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688392 (951 条)
2026-09-02 16:02:18.082 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688392 (951 条)
2026-09-02 16:02:18.087 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688392 (952 条)
2026-09-02 16:02:18.112 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688400 (1009 条)
2026-09-02 16:02:20.264 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688400 (1009 条)
2026-09-02 16:02:20.269 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688400 (1010 条)
2026-09-02 16:02:20.297 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688403 (978 条)
2026-09-02 16:02:21.942 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688403 (978 条)
2026-09-02 16:02:21.947 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688403 (979 条)
2026-09-02 16:02:21.972 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688408 (1372 条)
2026-09-02 16:02:24.125 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688408 (1372 条)
2026-09-02 16:02:24.133 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688408 (1373 条)
2026-09-02 16:02:24.159 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688409 (947 条)
2026-09-02 16:02:26.357 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688409 (947 条)
2026-09-02 16:02:26.362 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688409 (948 条)
2026-09-02 16:02:26.382 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688432 (923 条)
2026-09-02 16:02:28.173 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688432 (923 条)
2026-09-02 16:02:28.179 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688432 (923 条)
2026-09-02 16:02:28.206 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688433 (819 条)
2026-09-02 16:02:30.284 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688433 (819 条)
2026-09-02 16:02:30.289 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688433 (820 条)
2026-09-02 16:02:30.309 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688439 (972 条)
2026-09-02 16:02:32.007 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688439 (972 条)
2026-09-02 16:02:32.012 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688439 (973 条)
2026-09-02 16:02:32.034 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688443 (776 条)
2026-09-02 16:02:34.100 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688443 (776 条)
2026-09-02 16:02:34.105 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688443 (777 条)
2026-09-02 16:02:34.132 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688449 (426 条)
2026-09-02 16:02:36.208 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688449 (426 条)
2026-09-02 16:02:36.213 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688449 (427 条)
2026-09-02 16:02:36.231 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688484 (825 条)
2026-09-02 16:02:38.046 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688484 (825 条)
2026-09-02 16:02:38.052 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688484 (826 条)
2026-09-02 16:02:38.076 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688486 (857 条)
2026-09-02 16:02:39.911 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688486 (857 条)
2026-09-02 16:02:39.915 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688486 (858 条)
2026-09-02 16:02:39.930 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688502 (845 条)
2026-09-02 16:02:41.495 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688502 (845 条)
2026-09-02 16:02:41.499 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688502 (846 条)
2026-09-02 16:02:41.530 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688503 (903 条)
2026-09-02 16:02:43.456 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688503 (903 条)
2026-09-02 16:02:43.460 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688503 (904 条)
2026-09-02 16:02:43.505 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688515 (864 条)
2026-09-02 16:02:45.411 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688515 (864 条)
2026-09-02 16:02:45.415 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688515 (865 条)
2026-09-02 16:02:45.446 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688516 (1372 条)
2026-09-02 16:02:47.312 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688516 (1372 条)
2026-09-02 16:02:47.319 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688516 (1373 条)
2026-09-02 16:02:47.349 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688519 (1372 条)
2026-09-02 16:02:49.000 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688519 (1372 条)
2026-09-02 16:02:49.008 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688519 (1373 条)
2026-09-02 16:02:49.031 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688522 (841 条)
2026-09-02 16:02:51.037 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688522 (841 条)
2026-09-02 16:02:51.041 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688522 (842 条)
2026-09-02 16:02:51.067 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688523 (788 条)
2026-09-02 16:02:52.782 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688523 (788 条)
2026-09-02 16:02:52.786 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688523 (789 条)
2026-09-02 16:02:52.811 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688531 (819 条)
2026-09-02 16:02:54.598 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688531 (819 条)
2026-09-02 16:02:54.602 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688531 (820 条)
2026-09-02 16:02:54.626 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688536 (1352 条)
2026-09-02 16:02:56.548 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688536 (1352 条)
2026-09-02 16:02:56.557 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688536 (1353 条)
2026-09-02 16:02:56.580 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688543 (775 条)
2026-09-02 16:02:58.643 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688543 (775 条)
2026-09-02 16:02:58.647 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688543 (776 条)
2026-09-02 16:02:58.671 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688545 (389 条)
2026-09-02 16:03:00.525 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688545 (389 条)
2026-09-02 16:03:00.529 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688545 (390 条)
2026-09-02 16:03:00.562 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688548 (738 条)
2026-09-02 16:03:02.950 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688548 (738 条)
2026-09-02 16:03:02.956 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688548 (739 条)
2026-09-02 16:03:02.977 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688549 (720 条)
2026-09-02 16:03:04.977 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688549 (720 条)
2026-09-02 16:03:04.982 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688549 (721 条)
2026-09-02 16:03:05.001 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688552 (799 条)
2026-09-02 16:03:07.178 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688552 (799 条)
2026-09-02 16:03:07.186 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688552 (800 条)
2026-09-02 16:03:07.209 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688559 (1372 条)
2026-09-02 16:03:09.337 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688559 (1372 条)
2026-09-02 16:03:09.345 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688559 (1373 条)
2026-09-02 16:03:09.365 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688567 (1365 条)
2026-09-02 16:03:11.660 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688567 (1365 条)
2026-09-02 16:03:11.668 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688567 (1366 条)
2026-09-02 16:03:11.692 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688584 (618 条)
2026-09-02 16:03:13.733 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688584 (618 条)
2026-09-02 16:03:13.739 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688584 (619 条)
2026-09-02 16:03:13.760 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688586 (1372 条)
2026-09-02 16:03:15.812 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688586 (1372 条)
2026-09-02 16:03:15.820 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688586 (1373 条)
2026-09-02 16:03:15.850 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688591 (725 条)
2026-09-02 16:03:17.660 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688591 (725 条)
2026-09-02 16:03:17.664 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688591 (726 条)
2026-09-02 16:03:17.681 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688593 (779 条)
2026-09-02 16:03:19.835 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688593 (779 条)
2026-09-02 16:03:19.839 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688593 (780 条)
2026-09-02 16:03:19.862 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688596 (1372 条)
2026-09-02 16:03:22.128 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688596 (1372 条)
2026-09-02 16:03:22.138 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688596 (1373 条)
2026-09-02 16:03:22.156 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688605 (417 条)
2026-09-02 16:03:24.134 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688605 (417 条)
2026-09-02 16:03:24.138 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688605 (418 条)
2026-09-02 16:03:24.162 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688612 (752 条)
2026-09-02 16:03:25.992 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688612 (752 条)
2026-09-02 16:03:25.997 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688612 (753 条)
2026-09-02 16:03:26.019 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688627 (758 条)
2026-09-02 16:03:28.019 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688627 (758 条)
2026-09-02 16:03:28.023 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688627 (759 条)
2026-09-02 16:03:28.048 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688630 (1314 条)
2026-09-02 16:03:30.111 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688630 (1314 条)
2026-09-02 16:03:30.118 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688630 (1315 条)
2026-09-02 16:03:30.144 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688631 (772 条)
2026-09-02 16:03:32.105 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688631 (772 条)
2026-09-02 16:03:32.109 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688631 (773 条)
2026-09-02 16:03:32.132 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688639 (1300 条)
2026-09-02 16:03:34.198 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688639 (1300 条)
2026-09-02 16:03:34.205 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688639 (1301 条)
2026-09-02 16:03:34.301 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688652 (668 条)
2026-09-02 16:03:36.283 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688652 (668 条)
2026-09-02 16:03:36.286 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688652 (669 条)
2026-09-02 16:03:36.311 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688658 (1372 条)
2026-09-02 16:03:38.372 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688658 (1372 条)
2026-09-02 16:03:38.379 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688658 (1373 条)
2026-09-02 16:03:38.407 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688660 (1284 条)
2026-09-02 16:03:40.234 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688660 (1284 条)
2026-09-02 16:03:40.241 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688660 (1285 条)
2026-09-02 16:03:40.269 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688668 (1372 条)
2026-09-02 16:03:42.288 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688668 (1372 条)
2026-09-02 16:03:42.298 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688668 (1373 条)
2026-09-02 16:03:42.318 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688686 (1372 条)
2026-09-02 16:03:44.244 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688686 (1372 条)
2026-09-02 16:03:44.253 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688686 (1373 条)
2026-09-02 16:03:44.284 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688690 (1260 条)
2026-09-02 16:03:46.422 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688690 (1260 条)
2026-09-02 16:03:46.430 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688690 (1261 条)
2026-09-02 16:03:46.453 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688691 (581 条)
2026-09-02 16:03:48.597 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688691 (581 条)
2026-09-02 16:03:48.601 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688691 (582 条)
2026-09-02 16:03:48.616 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688698 (1372 条)
2026-09-02 16:03:50.683 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688698 (1372 条)
2026-09-02 16:03:50.690 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688698 (1373 条)
2026-09-02 16:03:50.705 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688700 (1266 条)
2026-09-02 16:03:52.287 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688700 (1266 条)
2026-09-02 16:03:52.294 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688700 (1267 条)
2026-09-02 16:03:52.319 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688717 (644 条)
2026-09-02 16:03:54.143 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688717 (644 条)
2026-09-02 16:03:54.147 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688717 (645 条)
2026-09-02 16:03:54.173 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688726 (449 条)
2026-09-02 16:03:56.133 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688726 (449 条)
2026-09-02 16:03:56.136 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688726 (450 条)
2026-09-02 16:03:56.159 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688766 (1207 条)
2026-09-02 16:03:58.212 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688766 (1207 条)
2026-09-02 16:03:58.220 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688766 (1208 条)
2026-09-02 16:03:58.241 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688776 (1211 条)
2026-09-02 16:04:00.215 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688776 (1211 条)
2026-09-02 16:04:00.223 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688776 (1212 条)
2026-09-02 16:04:00.244 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688779 (1225 条)
2026-09-02 16:04:02.299 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688779 (1225 条)
2026-09-02 16:04:02.306 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688779 (1226 条)
2026-09-02 16:04:02.332 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688789 (1249 条)
2026-09-02 16:04:04.169 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688789 (1249 条)
2026-09-02 16:04:04.177 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688789 (1250 条)
2026-09-02 16:04:04.199 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688798 (1222 条)
2026-09-02 16:04:05.913 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688798 (1222 条)
2026-09-02 16:04:05.920 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 688798 (1223 条)
2026-09-02 16:04:05.944 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688800 (1239 条)
2026-09-02 16:04:07.686 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 688800 (1239 条)
