date,total_value,cash,market_value,daily_pnl,daily_return,cumulative_pnl,cumulative_return,n_positions
2026-08-13,1335441.17,86733.17,1248708.0,-124241.6,-0.085115,335441.17,0.335441,29
2026-08-14,1328323.0,1954.0,1326369.0,-7118.17,-0.00533,328323.0,0.328323,30
2026-08-30,1332831.57,1975.57,1330856.0,4508.57,0.003394,332831.57,0.332832,30
2026-09-01,1299562.9,133.9,1299429.0,-33268.67,-0.024961,299562.9,0.299563,27
2026-09-02,1289656.17,77.17,1289579.0,-9906.73,-0.007623,289656.17,0.289656,29
2026-09-03,1288138.93,1486.93,1286652.0,-1517.24,-0.001176,288138.93,0.288139,29
